"X1986"	"X1987"	"X1988"	"X1989"	"X1990"	"X1991"	"X1992"	"X1993"	"X1994"	"X1995"	"X1996"	"X1997"	"X1998"	"X1999"	"X2000"	"X2001"	"X2002"	"X2003"	"X2004"	"X2005"	"X2006"	"X2007"
"113"	-19.7	-24.7	NA	NA	-20.4	-20	-22.29	-14.18	-11.84	NA	NA	-14.95	-20.32	-22.61	-18.3	-18.54	-21.6	-21.25	-13.22	NA	-17.78	-10.01
"114"	-19.6	-25.6	NA	NA	-20	-19.2	-22.87	-16.75	-12.55	NA	NA	-15.47	-18.53	-22.85	-15.99	-16.33	-22.73	-19.01	-10.65	NA	-14.13	-10.24
"115"	-18.6	-24.8	NA	NA	-19.1	-17.5	-20.54	-14.57	-16.12	NA	NA	-14.7	-16.92	-20.24	-12.18	-16.21	-22.24	-15.08	-11.33	NA	-11.93	-10.26
"116"	-18.8	-25.1	NA	NA	-19.4	-15.7	-20.47	-12.92	-15.96	NA	NA	-12.62	-14.66	-16.64	-12.21	-14.85	-22.12	-14.91	-11.42	NA	-11.45	-10.76
"117"	-16.5	-24.7	NA	NA	-14.9	-14.4	-20.43	-13.51	-14.77	NA	NA	-11.03	-13.03	-15.12	-13.39	-12.9	-21.61	-16.79	-11.16	NA	-10.81	-10.62
"118"	-15.1	-23.3	NA	NA	-13.2	-14.1	-20.41	-15.87	-13.16	NA	NA	-9.28	-12.25	-15.38	-11.82	-13.81	-14.69	-16.73	-12.74	NA	-9.37	-10.36
"119"	-16.2	-22.8	NA	NA	-12.9	-13.2	-19.31	-16.96	-16.79	NA	NA	-13.29	-13.06	-14.99	-12.51	-12.94	-10.93	-17.39	-12.47	NA	-10.84	-9.73
"120"	-15	-22.2	NA	NA	-14.8	-12.1	-19.67	-16.96	-13.4	NA	NA	-16.1	-12	-13.96	-13.51	-14.59	-10.61	-16.21	-11.97	NA	-11.06	-8.51
"121"	-14.2	-21.5	NA	NA	-11.1	-13.2	-19.44	-15.11	-11.84	NA	NA	-14.87	-12.68	-13.47	-15.41	-13.57	-13.27	-15.22	-13.87	NA	-10.05	-10.54
"122"	-14.3	-18.9	NA	NA	-13.4	-13.9	-18.37	-15.04	-12.91	NA	NA	-16	-13.08	-15.65	-15.06	-12.28	-12.59	-13.84	-14.14	NA	-10.7	-10.9
"123"	-13.3	-16.8	NA	NA	-11.7	-14.3	-17.94	-14.91	-11.56	NA	NA	-14.99	-12.16	-13.65	-13.66	-10.89	-13.48	-11.36	-12.6	NA	-10.14	-9.43
"124"	-13	-15	NA	NA	-8.58	-12.4	-16.2	-13.75	-11.24	NA	NA	-15.8	-11.74	-14.42	-13	-12.07	-14.83	-8.69	-11.35	NA	-10.68	-9.88
"125"	-9.32	-13.4	NA	NA	-5.12	-11.5	-17.7	-13.81	-11.41	NA	NA	-13.59	-10.35	-15.1	-16.52	-11.29	-13.41	-10.13	-11.26	NA	-11.64	-7.92
"126"	-4.17	-14.2	NA	NA	-7.73	-11.4	-14.32	-13.59	-11.8	NA	NA	-10.62	-5.944	-15.26	-16.03	-10.62	-12.19	-11.49	-10.31	NA	-12.2	-8.18
"127"	-0.44	-14.2	NA	NA	-8.38	-9.62	-8.98	-13.06	-12.79	NA	NA	-7.82	-5.829	-17.16	-15.66	-11.67	-10.03	-12.67	-10.17	NA	-11.1	-9.63
